vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Very likely,40,20,University diploma,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Never married,C2,North West,Labour,I did not vote,Level-3
Very likely,46,16,"Other technical, professional or higher qualification",Male,"£15,000 to £19,999 per year","£20,000 to £24,999 per year",Never married,C2,North West,NA,I voted to Remain,Other
Very likely,29,20,University diploma,Female,"£45,000 to £49,999 per year","£25,000 to £29,999 per year",Living as married,B,Wales,Labour,I voted to Remain,Level-3
Very likely,22,Still at school/Full time student,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,Prefer not to answer,Don't know,Never married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£100,000 to £149,999 per year","£100,000 and over",Married,A,East of England,NA,I did not vote,Level-4
Very likely,67,15 or under,City & Guilds certificate - advanced,Male,Prefer not to answer,Prefer not to answer,Divorced,C2,Yorkshire and the Humber,NA,I voted to Leave,Professional
Very likely,57,16,No formal qualifications,Female,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Married,A,Yorkshire and the Humber,Labour,I voted to Leave,Level-0
Very likely,37,17-18,Don't know,Male,Prefer not to answer,Prefer not to answer,Living as married,B,South East,NA,I did not vote,Other
Very likely,64,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£25,000 to £29,999 per year",Prefer not to answer,Married,B,East of England,Don't know,I voted to Remain,Level-1
Fairly likely,43,20,"Other technical, professional or higher qualification",Male,"£50,000 to £59,999 per year","£45,000 to £49,999 per year",Married,B,North East,Labour,I voted to Remain,Other
Very likely,65,NA,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£50,000 to £59,999 per year",NA,Married,B,South West,Other,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,34,15 or under,No formal qualifications,Female,"£15,000 to £19,999 per year",Prefer not to answer,Married,C2,Yorkshire and the Humber,Conservative,I voted to Leave,Level-0
Very likely,70,20,Teaching qualification (not degree),Female,"£40,000 to £44,999 per year","£10,000 to £14,999 per year",Married,B,East Midlands,Liberal Democrat,I voted to Remain,Level-3
Don’t know,22,17-18,"Other technical, professional or higher qualification",Male,Don't know,"£30,000 to £34,999 per year",Never married,C1,East Midlands,NA,I did not vote,Other
Very likely,19,Still at school/Full time student,GCE A level or Higher Certificate,Female,Don't know,"under £5,000 per year",Never married,B,East Midlands,Conservative,I did not vote,Level-2
Very likely,27,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"£35,000 to £39,999 per year",Never married,B,London,Labour,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£60,000 to £69,999 per year","£45,000 to £49,999 per year",Married,B,East of England,Labour,I voted to Remain,Level-4
Very likely,42,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£15,000 to £19,999 per year","£10,000 to £14,999 per year",Never married,C2,West Midlands,Labour,I voted to Remain,Level-1
Very likely,51,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£45,000 to £49,999 per year","£5,000 to £9,999 per year",Living as married,B,South East,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,50,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,C2,North East,Labour,I voted to Leave,Level-1
Fairly likely,29,17-18,GCE A level or Higher Certificate,Male,"£30,000 to £34,999 per year","£35,000 to £39,999 per year",Married,C1,Yorkshire and the Humber,Labour,I voted to Remain,Level-2
Very likely,30,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£60,000 to £69,999 per year","£35,000 to £39,999 per year",Never married,C1,South East,Conservative,I voted to Remain,Level-3
Fairly likely,52,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£25,000 to £29,999 per year","£5,000 to £9,999 per year",Married,C1,North West,NA,I did not vote,Level-4
Very likely,36,17-18,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Married,D,West Midlands,NA,I did not vote,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,16,"Other technical, professional or higher qualification",Male,"£35,000 to £39,999 per year","£30,000 to £34,999 per year",Divorced,C1,South West,Conservative,I voted to Leave,Other
Very likely,29,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Married,B,London,Labour,I voted to Remain,Level-3
Very likely,24,17-18,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year","under £5,000 per year",Never married,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-2
Very likely,57,20,"Other technical, professional or higher qualification",Female,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Married,A,South East,Liberal Democrat,I voted to Remain,Other
Very likely,68,16,"Other technical, professional or higher qualification",Male,"£15,000 to £19,999 per year",Prefer not to answer,Married,C2,South West,Conservative,I voted to Leave,Other
Very likely,62,20,"Other technical, professional or higher qualification",Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,A,West Midlands,Labour,I voted to Remain,Other
Very likely,72,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Widowed,B,East of England,Conservative,I voted to Leave,Level-3
Very likely,35,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£15,000 to £19,999 per year",Living as married,C1,South West,Green,I voted to Remain,Level-3
Fairly likely,23,Still at school/Full time student,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,"£20,000 to £24,999 per year",Never married,A,South West,Conservative,I voted to Leave,Level-3
Very likely,39,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Living as married,A,Scotland,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,16,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,C2,Yorkshire and the Humber,Conservative,I did not vote,Other
Very likely,47,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Divorced,C1,North East,NA,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Married,C2,North West,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£15,000 to £19,999 per year",Prefer not to answer,Married,E,East Midlands,Conservative,I voted to Leave,Level-3
Fairly likely,21,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Never married,E,East Midlands,Don't know,I did not vote,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,47,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year","£35,000 to £39,999 per year",Never married,C1,Scotland,Conservative,I did not vote,Level-3
Very likely,35,17-18,GCE A level or Higher Certificate,Male,"£100,000 to £149,999 per year","£70,000 to £99,999 per year",Living as married,B,London,Conservative,I voted to Leave,Level-2
Very likely,31,16,City & Guilds certificate,Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,C1,South East,NA,I voted to Leave,Professional
Very likely,35,Can't remember,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,"£25,000 to £29,999 per year",Never married,B,Wales,Plaid Cymru,I voted to Remain,Level-3
Very likely,19,17-18,GCE A level or Higher Certificate,Female,Don't know,"under £5,000 per year",Never married,E,Yorkshire and the Humber,NA,I did not vote,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,20,"Other technical, professional or higher qualification",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Separated (after being married),C2,Scotland,NA,I voted to Remain,Other
Very likely,34,17-18,"Other technical, professional or higher qualification",Male,"£20,000 to £24,999 per year","£5,000 to £9,999 per year",Living as married,A,West Midlands,Conservative,I voted to Leave,Other
Very likely,41,15 or under,No formal qualifications,Male,"£30,000 to £34,999 per year","£20,000 to £24,999 per year",Married,C2,Yorkshire and the Humber,NA,I did not vote,Level-0
Very likely,24,Still at school/Full time student,University diploma,Female,Don't know,"£15,000 to £19,999 per year",Never married,C1,London,NA,I did not vote,Level-3
Very likely,37,16,No formal qualifications,Female,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Married,E,East Midlands,NA,I voted to Leave,Level-0
Fairly likely,45,17-18,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Living as married,A,South East,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,79,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,"£20,000 to £24,999 per year",Widowed,B,East Midlands,Liberal Democrat,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,19,University diploma,Female,Prefer not to answer,Prefer not to answer,Married,A,East of England,Conservative,I voted to Leave,Level-3
Very likely,20,19,GCE A level or Higher Certificate,Female,"£5,000 to £9,999 per year",Prefer not to answer,Never married,E,North West,NA,I did not vote,Level-2
Very likely,34,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-3
Very likely,19,17-18,GCE A level or Higher Certificate,Female,Don't know,"under £5,000 per year",Never married,C1,East Midlands,NA,I did not vote,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,A,South East,Liberal Democrat,I voted to Remain,Level-3
Fairly likely,44,17-18,City & Guilds certificate,Female,"£10,000 to £14,999 per year","£15,000 to £19,999 per year",Never married,D,South West,Labour,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,16,City & Guilds certificate,Male,"£45,000 to £49,999 per year","£30,000 to £34,999 per year",Living as married,D,London,Conservative,I voted to Leave,Professional
Very likely,37,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"under £5,000 per year",Never married,E,London,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,17-18,University diploma,Female,Prefer not to answer,"£25,000 to £29,999 per year",Married,A,North West,Conservative,I voted to Leave,Level-3
Very likely,29,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Living as married,B,Wales,NA,I did not vote,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,"£35,000 to £39,999 per year",Married,C1,London,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,38,20,"Other technical, professional or higher qualification",Male,Prefer not to answer,Prefer not to answer,Never married,C1,East of England,NA,I did not vote,Other
Very likely,60,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£100,000 to £149,999 per year","£35,000 to £39,999 per year",Civil Partnership,A,East of England,Labour,I voted to Leave,Level-3
Very likely,61,17-18,"Other technical, professional or higher qualification",Male,Don't know,Don't know,Married,B,East of England,Conservative,I voted to Leave,Other
Very likely,55,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"£5,000 to £9,999 per year",Never married,C1,South East,Labour,I voted to Remain,Level-3
Very likely,54,16,"Other technical, professional or higher qualification",Female,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Married,C2,Yorkshire and the Humber,Conservative,I voted to Remain,Other
Very likely,56,15 or under,No formal qualifications,Female,"£20,000 to £24,999 per year",Don't know,Married,E,London,NA,I did not vote,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,19,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Separated (after being married),C2,North West,Labour,I did not vote,Level-1
Very likely,42,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£40,000 to £44,999 per year","£25,000 to £29,999 per year",Never married,C1,East Midlands,Brexit Party,I voted to Leave,Level-3
Very unlikely,45,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Divorced,C2,Scotland,Conservative,I voted to Leave,Level-3
Very likely,39,16,Prefer not to say,Male,"under £5,000 per year","under £5,000 per year",Never married,E,West Midlands,NA,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,20,Scottish Higher Certificate,Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-2
Very unlikely,57,15 or under,Prefer not to say,Male,"£20,000 to £24,999 per year",Prefer not to answer,Married,C2,East of England,Conservative,I voted to Leave,Other
Fairly likely,33,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year",Prefer not to answer,Never married,C1,London,Labour,I voted to Remain,Level-3
Very likely,52,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Living as married,C2,North West,Conservative,I voted to Leave,Level-1
Very likely,71,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£60,000 to £69,999 per year","£45,000 to £49,999 per year",Married,A,East Midlands,Labour,I voted to Remain,Level-4
Very likely,26,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Living as married,C1,London,Liberal Democrat,I voted to Remain,Level-3
Very likely,45,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£40,000 to £44,999 per year","£15,000 to £19,999 per year",Married,D,West Midlands,NA,I did not vote,Level-1
Very likely,30,19,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Separated (after being married),C1,Wales,Labour,I voted to Remain,Level-2
Very likely,49,17-18,"Other technical, professional or higher qualification",Male,"£45,000 to £49,999 per year","£50,000 to £59,999 per year",Never married,C1,North West,Liberal Democrat,I voted to Remain,Other
Don’t know,18,Still at school/Full time student,GCE A level or Higher Certificate,Female,"£20,000 to £24,999 per year",Don't know,Never married,C1,South West,NA,I did not vote,Level-2
Very likely,69,16,GCE A level or Higher Certificate,Female,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,B,South East,Labour,I voted to Remain,Level-2
Very likely,62,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Prefer not to answer,"£45,000 to £49,999 per year",Living as married,A,South West,Conservative,I voted to Leave,Level-4
Very likely,24,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,B,South East,Liberal Democrat,I voted to Remain,Level-4
Very likely,43,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£5,000 to £9,999 per year",Prefer not to answer,Married,E,London,Labour,I did not vote,Level-3
Very likely,58,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,B,South West,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,NA,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Separated (after being married),B,East of England,Conservative,I voted to Leave,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,47,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Never married,B,London,Conservative,I voted to Leave,Level-3
Don’t know,47,20,"Other technical, professional or higher qualification",Female,"£100,000 to £149,999 per year",Prefer not to answer,Married,A,West Midlands,Conservative,I voted to Leave,Other
Very likely,20,Still at school/Full time student,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year","under £5,000 per year",Never married,B,West Midlands,Labour,I did not vote,Level-2
Don’t know,28,Can't remember,Don't know,Female,Don't know,Don't know,Never married,C2,North East,NA,I voted to Remain,Other
Very unlikely,24,20,University diploma,Female,"£25,000 to £29,999 per year","under £5,000 per year",Living as married,B,East Midlands,Conservative,I voted to Leave,Level-3
Very likely,46,20,"Other technical, professional or higher qualification",Male,"£70,000 to £99,999 per year","under £5,000 per year",Married,A,South West,Conservative,I voted to Remain,Other
Very unlikely,49,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Divorced,A,South East,Conservative,I voted to Leave,Level-3
Very unlikely,60,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£20,000 to £24,999 per year",Married,C1,East of England,Other,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£150,000 and over","£100,000 and over",Married,A,South East,Conservative,I did not vote,Level-3
Very likely,21,Still at school/Full time student,University diploma,Female,"£150,000 and over",Prefer not to answer,Never married,A,South West,Liberal Democrat,I voted to Remain,Level-3
Very likely,35,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£150,000 and over","£70,000 to £99,999 per year",Living as married,A,South East,Conservative,I voted to Leave,Level-3
Fairly likely,42,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£50,000 to £59,999 per year","£45,000 to £49,999 per year",Separated (after being married),B,West Midlands,Labour,I voted to Remain,Level-4
Very unlikely,48,NA,Teaching qualification (not degree),Female,"£60,000 to £69,999 per year","£50,000 to £59,999 per year",Married,B,Yorkshire and the Humber,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,NA,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Married,B,Yorkshire and the Humber,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,19,GCE A level or Higher Certificate,Female,"under £5,000 per year","under £5,000 per year",Never married,C1,Yorkshire and the Humber,Conservative,I voted to Remain,Level-2
Very likely,66,16,No formal qualifications,Female,Prefer not to answer,Prefer not to answer,Married,C1,East of England,Conservative,I voted to Leave,Level-0
Very likely,23,17-18,GCE A level or Higher Certificate,Female,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Living as married,D,East Midlands,Conservative,I voted to Leave,Level-2
Very likely,39,16,Prefer not to say,Female,"£30,000 to £34,999 per year",Prefer not to answer,Married,E,East Midlands,Labour,I voted to Remain,Other
Very likely,46,19,"Other technical, professional or higher qualification",Female,"£20,000 to £24,999 per year","£5,000 to £9,999 per year",Married,C1,Yorkshire and the Humber,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,27,NA,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,"£60,000 to £69,999 per year","£30,000 to £34,999 per year",Living as married,C2,Wales,NA,I voted to Remain,Level-3
Fairly unlikely,35,19,No formal qualifications,Male,Don't know,"under £5,000 per year",Never married,D,East Midlands,NA,I did not vote,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,26,20,GCE A level or Higher Certificate,Male,"£35,000 to £39,999 per year","£20,000 to £24,999 per year",Living as married,C1,West Midlands,Labour,I voted to Leave,Level-2
Very likely,70,20,City & Guilds certificate,Male,Don't know,Prefer not to answer,Never married,E,South East,Don't know,Can’t remember,Professional
Very likely,28,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Married,C1,London,Don't know,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,24,20,City & Guilds certificate,Female,"under £5,000 per year","£5,000 to £9,999 per year",Never married,E,West Midlands,NA,I did not vote,Professional
Very unlikely,31,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,C2,Yorkshire and the Humber,Brexit Party,I voted to Leave,Level-1
Very likely,66,15 or under,Clerical and commercial,Female,Prefer not to answer,Prefer not to answer,Married,E,East of England,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,41,20,GCE A level or Higher Certificate,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,C1,North West,NA,I did not vote,Level-2
Very likely,40,17-18,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£45,000 to £49,999 per year",Prefer not to answer,Never married,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-4
Very likely,26,19,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Never married,E,North West,Liberal Democrat,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£50,000 to £59,999 per year",Married,A,South West,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£5,000 to £9,999 per year","under £5,000 per year",Living as married,C1,Yorkshire and the Humber,Don't know,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,NA,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,Prefer not to answer,Prefer not to answer,Widowed,B,South East,Conservative,I voted to Leave,Level-4
Fairly likely,36,16,"Other technical, professional or higher qualification",Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Living as married,B,South East,Conservative,I voted to Leave,Other
Very likely,42,NA,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Civil Partnership,A,East of England,Conservative,I voted to Leave,Level-2
Very likely,60,16,Prefer not to say,Male,Prefer not to answer,Prefer not to answer,Separated (after being married),D,South East,NA,I did not vote,Other
Fairly likely,46,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Married,C1,South East,NA,I did not vote,Level-3
Very likely,33,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£15,000 to £19,999 per year","£20,000 to £24,999 per year",Living as married,C1,London,Labour,I voted to Remain,Level-4
Very likely,43,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,B,London,Labour,I voted to Remain,Level-3
Very likely,49,19,Recognised trade apprenticeship completed,Male,"£35,000 to £39,999 per year","£35,000 to £39,999 per year",Never married,C2,East of England,NA,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Widowed,B,South West,Conservative,I voted to Leave,Level-1
Don’t know,26,Can't remember,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",Female,Prefer not to answer,Prefer not to answer,NA,C2,South East,NA,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,16,"Other technical, professional or higher qualification",Male,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Married,A,North West,Labour,I voted to Remain,Other
Fairly unlikely,35,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£100,000 to £149,999 per year","£50,000 to £59,999 per year",Living as married,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,62,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£5,000 to £9,999 per year",NA,NA,B,North West,Labour,I voted to Remain,Level-3
Very likely,57,NA,GCE A level or Higher Certificate,Female,"£35,000 to £39,999 per year",NA,Living as married,B,Yorkshire and the Humber,Labour,I did not vote,Level-2
Very likely,68,15 or under,Prefer not to say,Female,Prefer not to answer,Prefer not to answer,Widowed,C1,Yorkshire and the Humber,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,NA,Teaching qualification (not degree),Female,"£60,000 to £69,999 per year","under £5,000 per year",Married,B,South West,Labour,I voted to Remain,Level-3
Very likely,34,NA,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£45,000 to £49,999 per year",Civil Partnership,C1,Scotland,NA,I did not vote,Level-3
Very unlikely,40,16,Recognised trade apprenticeship completed,Male,"under £5,000 per year",Prefer not to answer,Never married,C1,East of England,NA,I did not vote,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,24,19,GCE A level or Higher Certificate,Female,Don't know,"under £5,000 per year",Never married,A,North West,Labour,I voted to Remain,Level-2
Very likely,36,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£150,000 and over",NA,Living as married,A,South East,Conservative,I voted to Remain,Level-4
Don’t know,48,15 or under,No formal qualifications,Male,"under £5,000 per year","under £5,000 per year",Separated (after being married),E,South West,NA,I did not vote,Level-0
Very unlikely,45,Can't remember,Prefer not to say,Male,Prefer not to answer,Prefer not to answer,Never married,E,North West,NA,I did not vote,Other
Very likely,55,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,South East,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,NA,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£70,000 to £99,999 per year",NA,Married,A,Wales,Conservative,I voted to Remain,Level-4
Very likely,24,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Don't know,"£20,000 to £24,999 per year",Never married,B,South West,Labour,I voted to Remain,Level-3
Fairly likely,41,17-18,Prefer not to say,Male,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Never married,C1,East Midlands,Conservative,I voted to Leave,Other
Don’t know,59,16,Don't know,Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Married,C1,East of England,Don't know,Can’t remember,Other
Don’t know,28,20,GCE A level or Higher Certificate,Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C2,London,NA,I did not vote,Level-2
Very likely,53,15 or under,CSE grades 2-5,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Widowed,D,West Midlands,Other,I voted to Leave,Level-1
Very likely,36,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£25,000 to £29,999 per year",Married,C1,Scotland,Scottish National Party (SNP),I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,58,16,Recognised trade apprenticeship completed,Male,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Widowed,C1,East Midlands,Conservative,I voted to Remain,Professional
